id,name,code,citymun_id/id,active
res_brgy_12801001,Adams (Pob.),12801001,res_citymun_12801,TRUE
res_brgy_12802001,Bani,12802001,res_citymun_12802,TRUE
res_brgy_12802002,Buyon,12802002,res_citymun_12802,TRUE
res_brgy_12802003,Cabaruan,12802003,res_citymun_12802,TRUE
res_brgy_12802004,Cabulalaan,12802004,res_citymun_12802,TRUE
res_brgy_12802005,Cabusligan,12802005,res_citymun_12802,TRUE
res_brgy_12802006,Cadaratan,12802006,res_citymun_12802,TRUE
res_brgy_12802007,Calioet-Libong,12802007,res_citymun_12802,TRUE
res_brgy_12802008,Casilian,12802008,res_citymun_12802,TRUE
res_brgy_12802009,Corocor,12802009,res_citymun_12802,TRUE
res_brgy_12802011,Duripes,12802011,res_citymun_12802,TRUE
res_brgy_12802012,Ganagan,12802012,res_citymun_12802,TRUE
res_brgy_12802013,Libtong,12802013,res_citymun_12802,TRUE
res_brgy_12802014,Macupit,12802014,res_citymun_12802,TRUE
res_brgy_12802015,Nambaran,12802015,res_citymun_12802,TRUE
res_brgy_12802016,Natba,12802016,res_citymun_12802,TRUE
res_brgy_12802017,Paninaan,12802017,res_citymun_12802,TRUE
res_brgy_12802018,Pasiocan,12802018,res_citymun_12802,TRUE
res_brgy_12802019,Pasngal,12802019,res_citymun_12802,TRUE
res_brgy_12802020,Pipias,12802020,res_citymun_12802,TRUE
res_brgy_12802021,Pulangi,12802021,res_citymun_12802,TRUE
res_brgy_12802022,Pungto,12802022,res_citymun_12802,TRUE
res_brgy_12802024,San Agustin I (Pob.),12802024,res_citymun_12802,TRUE
res_brgy_12802025,San Agustin II (Pob.),12802025,res_citymun_12802,TRUE
res_brgy_12802027,San Andres I (Pob.),12802027,res_citymun_12802,TRUE
res_brgy_12802028,San Andres II (Pob.),12802028,res_citymun_12802,TRUE
res_brgy_12802030,San Gabriel I (Pob.),12802030,res_citymun_12802,TRUE
res_brgy_12802031,San Gabriel II (Pob.),12802031,res_citymun_12802,TRUE
res_brgy_12802033,San Pedro I (Pob.),12802033,res_citymun_12802,TRUE
res_brgy_12802034,San Pedro II (Pob.),12802034,res_citymun_12802,TRUE
