id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_1,Animalia,Aves,Abeillia abeillei,II,Emerald-chinned Hummingbird,Emerald-chinned Hummingbird,Fauna,,
ecites_species_2,Animalia,Reptilia,Abronia graminea,II,"Arboreal alligator lizard, Terrestrial Alligator Lizard",Cooper's Hawk,Fauna,,
ecites_species_3,Animalia,Aves,Accipiter albogularis,II,"Pied Goshawk, Pied Sparrowhawk","African Little Sparrowhawk, Little Sparrowhawk",Fauna,,
ecites_species_4,Animalia,Aves,Accipiter badius,II,"Little Banded Sparrowhawk, Shikra","Celebes Sparrowhawk, Small Sparrowhawk",Fauna,,
ecites_species_5,Animalia,Aves,Accipiter bicolor,II,"Bicolored Hawk, Bicolored Sparrowhawk","Eurasian Sparrowhawk, Sparrowhawk",Fauna,,
ecites_species_6,Animalia,Aves,Accipiter brachyurus,II,"New Britain Sparrowhawk, Red-collared Sparrowhawk","Grey Goshawk, Grey-throated Goshawk, Variable Goshawk, White Goshawk",Fauna,,
ecites_species_7,Animalia,Aves,Accipiter brevipes,II,Levant Sparrowhawk,"Ovambo Sparrowhawk, Ovampo Sparrowhawk",Fauna,,
ecites_species_8,Animalia,Aves,Accipiter butleri,II,"Nicobar Shikra, Nicobar Sparrowhawk","Grey-headed Goshawk, Grey-headed Sparrowhawk, New Guinea Grey-headed Goshawk",Fauna,,
ecites_species_9,Animalia,Aves,Accipiter castanilius,II,"Chestnut-bellied Sparrowhawk, Chestnut-flanked Sparrowhawk","Grey-bellied Goshawk, Grey-bellied Hawk",Fauna,,
ecites_species_10,Animalia,Aves,Accipiter cirrhocephalus,II,Collared Sparrowhawk,"Grey-headed Goshawk, New Britain Goshawk",Fauna,,
ecites_species_11,Animalia,Aves,Accipiter collaris,II,"Semi-collared Hawk, Semi-collared Sparrowhawk",Vinous-breasted Sparrowhawk,Fauna,,
ecites_species_12,Animalia,Aves,Accipiter cooperii,II,Cooper's Hawk,"Fiji Goshawk, Fiji Sparrowhawk",Fauna,,
ecites_species_13,Animalia,Aves,Accipiter erythrauchen,II,"Moluccan Sparrowhawk, Rufous-necked Sparrowhawk",Rufous-chested Sparrowhawk,Fauna,,
ecites_species_14,Animalia,Aves,Accipiter erythropus,II,Red-thighed Sparrowhawk,"Chinese Goshawk, Chinese Sparrowhawk, Grey Frog Hawk",Fauna,,
ecites_species_15,Animalia,Aves,Accipiter fasciatus,II,"Australasian Goshawk, Brown Goshawk",Sharp-shinned Hawk,Fauna,,
ecites_species_16,Animalia,Aves,Accipiter francesii,II,"Frances's Goshawk, Frances's Sparrowhawk","Tiny Hawk, Tiny Sparrowhawk",Fauna,,
ecites_species_17,Animalia,Aves,Accipiter gentilis,II,"Goshawk, Northern Goshawk",African Goshawk,Fauna,,
ecites_species_18,Animalia,Aves,Accipiter griseiceps,II,"Celebes Crested Goshawk, Sulawesi Goshawk","Red-chested Goshawk, Red-chested Hawk",Fauna,,
ecites_species_19,Animalia,Aves,Accipiter gularis,II,"Japanese Lesser Sparrowhawk, Japanese Sparrowhawk","Spot-tailed Goshawk, Spot-tailed Sparrowhawk",Fauna,,
ecites_species_20,Animalia,Aves,Accipiter gundlachi,II,"Gundlach's Hawk, Gundlach's Sparrowhawk","Asian Crested Goshawk, Crested Goshawk",Fauna,,
ecites_species_21,Animalia,Aves,Accipiter haplochrous,II,"New Caledonia Goshawk, White-bellied Goshawk","Besra, Besra Sparrowhawk",Fauna,,
